PMID,Title,Authors,Abstract,Publication Year
16625678,Enhanced activity and selectivity in cyclohexane autoxidation by inert H-bond acceptor catalysts.,"Ive Hermans, Jozef Peeters, Pierre A Jacobs","Herein, we demonstrate that the chain-initiating dissociation of cyclohexyl hydroperoxide, CyOOH, is substantially accelerated by H-bond acceptors (e.g. Teflon), which assist O-O bond breaking by stabilising the leaving *OH radical. This is a completely new approach to boost the chain-propagating radical concentration. Indeed, up to now, literature has remained focussed on transition metal catalysis. In addition to this initiation effect, we demonstrate how inert perfluorinated compounds are also able to steer the selectivity at the molecular level, by promoting the conversion of the intermediate cyclohexyl hydroperoxide to the most desired end-product, cyclohexanone. This effect is explained by an enhanced, H-bond-assisted, hydroperoxide propagation. This hitherto overlooked hydroperoxide propagation was recently presented by us as the dominant cyclohexanone and cyclohexanol source. We herein thus confirm our previously reported autoxidation scheme, and illustrate its usefulness as a solid basis for designing new catalytic systems.",2006
16625679,Uncalibrated modelling of conservative tracer and pesticide leaching to groundwater: comparison of potential Tier II exposure assessment models.,"Garey A Fox, George J Sabbagh, Wenlin Chen, Mark H Russell","The Root Zone Water Quality Model (RZWQM) and Pesticide Root Zone Model (PRZM) are currently being considered by the Office of Pesticide Programs (OPP) in the United States Environmental Protection Agency (US EPA) for Tier II screening of pesticide leaching to groundwater (November 2005). The objective of the present research was to compare RZWQM and PRZM based on observed conservative tracer and pesticide pore water and soil concentrations collected in two unique groundwater leaching studies in North Carolina and Georgia. These two sites had been used previously by the Federal Insecticide, Fungicide and Rodenticide Act (FIFRA) Environmental Model Validation Task Force (EMVTF) in the validation of PRZM. As in the FIFRA EMVTF PRZM validation, 'cold' modelling using input parameters based on EPA guidelines/databases and 'site-specific' modelling using field-measured soil and hydraulic parameters were performed with a recently released version of RZWQM called RZWQM-NAWQA (National Water Quality Assessment). Model calibration was not performed for either the 'cold' or 'site-specific' modelling. The models were compared based on predicted pore water and soil concentrations of bromide and pesticides throughout the soil profile. Both models tended to predict faster movement through the soil profile than observed. Based on a quantitative normalised objective function (NOF), RZWQM-NAWQA generally outperformed or was equivalent to PRZM in simulating pore water and soil concentrations. Both models were more successful in predicting soil concentrations (i.e. NOF < 1.0 for site-specific data, which satisfies site-specific applicability) than they were at predicting pore water concentrations.",2006
16625680,Plant-derived natural products exhibiting activity against formosan subterranean termites (Coptotermes formosanus).,"Kumudini M Meepagala, Weste Osbrink, George Sturtz, Alan Lax","The Formosan subterranean termite, Coptotermes formosanus Shiraki, is among the most devastating termite pests. Natural products derived from plant extracts were tested in a discovery programme for effective, environmentally friendly termite control agents. Among the natural products tested, vulgarone B (isolated from Artemisia douglasiana Besser), apiol (isolated from Ligusticum hultenii (Fern.) Calder & Taylor) and cnicin (isolated from Centaurea maculosa Lam.) exhibited significantly higher mortalities than in untreated controls in laboratory bioassay. These compounds are present at high levels in their respective plant sources and also possess other biological activities such as phytotoxic and antifungal properties.",2006
16625928,Enhanced surface-plasmon resonance absorption in metal-dielectric-metal layered microspheres.,"Keisuke Hasegawa, Charles Rohde, Miriam Deutsch","We present a theoretical study of the dispersion relation of surface-plasmon resonances of mesoscopic metal-dielectric-metal microspheres. By analyzing the solutions to Maxwell's equations, we obtain a simple geometric condition for which the system exhibits a band of surface-plasmon modes whose resonant frequencies are weakly dependent on the multipole number. Using a modified Mie calculation, we find that a large number of modes belonging to this flat-dispersion band can be excited simultaneously by a plane wave, thus enhancing the absorption cross section. We demonstrate that the enhanced absorption peak of the sphere is geometrically tunable over the entire visible range.",2006
16625929,Ultraviolet laser filaments for remote laser-induced breakdown spectroscopy (LIBS) analysis: applications in cultural heritage monitoring.,"Stelios Tzortzakis, Demetrios Anglos, David Gray","We report experiments with subpicosecond UV laser filaments for the remote analysis of samples related to objects of cultural heritage. The classic laser-induced breakdown spectroscopy (LIBS) technique finds new avenues through femtosecond filamentation, and dynamic remote LIBS becomes possible. Advantages such as self-regulated laser intensity deposition on the target suggest that there is significant potential for using UV femtosecond filaments for the remote analysis of sculpture and large monuments.",2006
16625930,Measurement of surface concentration of fluorophores by fluorescence fluctuation spectroscopy.,"A Delon, J Derouard, G Delapierre, R Jaffiol","Fluorescence fluctuation spectroscopy is applied to study molecules passing through a small observation volume, usually subjected to diffusive or convective motion in a liquid phase. We suggest that such a technique could be used to measure the areal absolute concentration of fluorophores deposited on a substrate or embedded in a thin film, with a resolution of a few micrometers. The principle is to translate the solid substrate in front of a confocal fluorescence microscope objective and to record the subsequent fluctuations of the fluorescence intensity. The validity of this concept is investigated on model substrates (fluorescent microspheres) and DNA biochips.",2006
16625931,High-repetition-rate 12 fs pulse amplification by a Ti:sapphire regenerative amplifier system.,"Hideyuki Takada, Masayuki Kakehata, Kenji Torizuka",We demonstrate the direct generation of 12 fs pulses from a Ti:sapphire regenerative amplifier system at a 1 kHz repetition rate utilizing properly designed broadband components for chirped-pulse amplification. Optimized designs of a regenerative amplifier with a multilayer gain-narrowing compensator and an adaptive dispersion compensator with a spatial light modulator contribute to the shorter pulse amplification.,2006
16625932,Multimilliwatt ultrashort pulses continuously tunable in the visible from a compact fiber source.,"K Moutzouris, E Adler, F Sotier, D Träutlein, A Leitenstorfer","We report on a single-pass device that efficiently converts the broadband near-infrared output from a femtosecond fiber laser into a narrow spectrum in the visible. With fan-out poled MgO:LiNbO3 we obtain sub-picosecond, continuously tunable pulses in the 520-700 nm range. Conversion efficiencies as high as 30% are observed at typical pump power levels of 30 mW, corresponding to average output powers up to 9.5 mW. The specifications of our device are ideal for applications in confocal microscopy and frequency metrology.",2006
16625933,Heterodyne spectral interferometry for multidimensional nonlinear spectroscopy of individual quantum systems.,"Wolfgang Langbein, Brian Patton","A novel implementation of transient nonlinear spectroscopy is presented that allows the study of the transient nonlinear polarization emitted from individual electronic transitions. Both the amplitude and the phase of the polarization are retrieved, permitting the implementation of multidimensional spectroscopy in the excitation pulse delays. The technique is shown to detect mutual coherent coupling in a group of individual, localized excitonic transitions.",2006
16625934,In situ broadband pulse compression for multiphoton microscopy using a shaper-assisted collinear SPIDER.,"Bernhard von Vacano, Tiago Buckup, Marcus Motzkus",The characterization and control of the phase of broadband femtosecond pulses in nonlinear microscopy are successfully demonstrated with a collinear configuration of spectral shear interferometry for direct electric field reconstruction (SPIDER). A femtosecond-pulse shaper is used as a dispersionless interferometer for the measurement of the spectral phase and to actively compress a broadband supercontinuum from a photonic crystal fiber. This allows in situ online phase management and enables the application of quantum control spectroscopy in microenvironments.,2006
