Journal Title,ISSN,eISSN,Year,Volume,Issue,Page,DOI,PMCID,PMID,Manuscript Id,Release Date
Biochem J,0264-6021,1470-8728,2006,396,Pt 1,e1,10.1042/BJ20060377,PMC1450001,16626281,,live
BMC Genomics,,1471-2164,2006,7,,85,10.1186/1471-2164-7-85,PMC1459144,16626485,,live
Behav Brain Funct,,1744-9081,2006,2,,14,10.1186/1744-9081-2-14,PMC1459178,16626484,,live
BMC Med Ethics,,1472-6939,2006,7,,5,10.1186/1472-6939-7-5,PMC1459179,16626488,,live
BMC Ophthalmol,,1471-2415,2006,6,,18,10.1186/1471-2415-6-18,PMC1459203,16626495,,live
Malar J,,1475-2875,2006,5,,31,10.1186/1475-2875-5-31,PMC1459863,16626494,,live
BMC Pregnancy Childbirth,,1471-2393,2006,6,,15,10.1186/1471-2393-6-15,PMC1459875,16626498,,live
Respir Res,1465-9921,1465-993X,2006,7,1,67,10.1186/1465-9921-7-67,PMC1462993,16626491,,live
BMC Microbiol,,1471-2180,2006,6,,36,10.1186/1471-2180-6-36,PMC1462995,16626493,,live
BMC Genomics,,1471-2164,2006,7,,86,10.1186/1471-2164-7-86,PMC1462998,16626500,,live
BMC Neurosci,,1471-2202,2006,7,,34,10.1186/1471-2202-7-34,PMC1464134,16626487,,live
J Zhejiang Univ Sci B,1673-1581,1862-1783,2006,7,6,411,10.1631/jzus.2006.B0411,PMC1473998,16625706,,live
BMC Genet,,1471-2156,2006,7,,22,10.1186/1471-2156-7-22,PMC1479364,16626483,,live
Int J Health Geogr,,1476-072X,2006,5,,17,10.1186/1476-072X-5-17,PMC1482309,16626490,,live
Aust New Zealand Health Policy,,1743-8462,2006,3,,2,10.1186/1743-8462-3-2,PMC1488859,16626499,,live
BMC Bioinformatics,,1471-2105,2006,7,,215,10.1186/1471-2105-7-215,PMC1513403,16626497,,live
BMC Pediatr,,1471-2431,2006,6,,13,10.1186/1471-2431-6-13,PMC1524754,16626486,,live
BMC Cancer,,1471-2407,2006,6,,99,10.1186/1471-2407-6-99,PMC1524972,16626496,,live
