PMID,Title,Authors,Abstract,Publication Year,study_name,included_in_study
26067812,Concomitant immune-related events in Wilson disease: implications for monitoring chelator therapy.,"Jessica Seessle, Daniel Nils Gotthardt, Mark Schäfer, Annina Gohdes, Jan Pfeiffenberger, Peter Ferenci, Wolfgang Stremmel, Karl Heinz Weiss","Current guidelines favor the use of chelating agents (d-penicillamine, trientine) in first line therapy of symptomatic Wilson disease patients. Development of chelator induced immunological adverse events are a concern especially under d-penicillamine therapy. This study assessed the prevalence of co-existing or therapy-related immune-mediated diseases in Wilson disease patients, and evaluated the role of antinuclear antibodies in therapy monitoring.",2016,Appenzeller-Herzog_2019,1
15622480,Recent clinical features of Wilson's disease with hepatic presentation.,"Teru Kumagi, Norio Horiike, Kojiro Michitaka, Aki Hasebe, Keiko Kawai, Yoshio Tokumoto, Seiji Nakanishi, Shinya Furukawa, Yoichi Hiasa, Hidetaka Matsui, Kiyotaka Kurose, Bunzo Matsuura, Morikazu Onji","We carried out this study to evaluate recent clinical features of Wilson's disease (WD) with hepatic presentation, especially in terms of age, degree of liver injury, and association with hepatocellular carcinoma (HCC).",2004,Appenzeller-Herzog_2019,1
26071888,Early neurological worsening in patients with Wilson's disease.,"Tomasz Litwin, Karolina Dzieżyc, Michał Karliński, Grzegorz Chabik, Wojciech Czepiel, Anna Członkowska",Early neurological worsening during treatment initiation for Wilson's disease (WD) is an unresolved problem. Our aim was to establish the frequency and outcome of early neurological worsening in patients with WD.,2015,Appenzeller-Herzog_2019,1
28578978,Modality of treatment and potential outcome of Wilson disease in Taiwan: A population-based longitudinal study.,"Chi-San Tai, Jia-Feng Wu, Huey-Ling Chen, Hong-Yuan Hsu, Mei-Hwei Chang, Yen-Hsuan Ni","This study aimed to investigate the epidemiology, the preference of medication, and the potential outcome of Wilson disease in Taiwan. We aimed to provide better therapeutic options for patients with Wilson disease based on the data generated from this study.",2018,Appenzeller-Herzog_2019,1
30576569,Hepatic manifestations of Wilson's disease: 12-year experience in a Swiss tertiary referral centre.,"Joana Vieira Barbosa, Montserrat Fraga, Joan Saldarriaga, Philippe Hiroz, Emiliano Giostra, Christine Sempoux, Peter Ferenci, Darius Moradpour","Wilson&rsquo;s disease is an inherited disorder of hepatic copper metabolism, leading to the accumulation of copper in the liver as well as the brain, cornea and other organs. Here, we describe the adult cases of hepatic Wilson&rsquo;s disease diagnosed at the Division of Gastroenterology and Hepatology of the University Hospital Lausanne, Switzerland between September 2004 and August 2016.",2018,Appenzeller-Herzog_2019,1
16606763,Treatment of Wilson disease with ammonium tetrathiomolybdate: IV. Comparison of tetrathiomolybdate and trientine in a double-blind study of treatment of the neurologic presentation of Wilson disease.,"George J Brewer, Fred Askari, Matthew T Lorincz, Martha Carlson, Michael Schilsky, Karen J Kluin, Peter Hedera, Paolo Moretti, John K Fink, Roberta Tankanow, Robert B Dick, Julia Sitterly","To compare tetrathiomolybdate and trientine in treating patients with the neurologic presentation of Wilson disease for the frequency of neurologic worsening, adverse effects, and degree of neurologic recovery.",2006,Appenzeller-Herzog_2019,1
21185835,Zinc monotherapy is not as effective as chelating agents in treatment of Wilson disease.,"Karl Heinz Weiss, Daniel Nils Gotthardt, Daniela Klemm, Uta Merle, Daniela Ferenci-Foerster, Mark Schaefer, Peter Ferenci, Wolfgang Stremmel","Wilson disease is a genetic disorder that affects copper storage, leading to liver failure and neurologic deterioration. Patients are treated with copper chelators and zinc salts, but it is not clear what approach is optimal because there have been few studies of large cohorts. We assessed long-term outcomes of different treatments.",2011,Appenzeller-Herzog_2019,1
23542331,Efficacy and safety of oral chelators in treatment of patients with Wilson disease.,"Karl Heinz Weiss, Florentine Thurik, Daniel Nils Gotthardt, Mark Schäfer, Ulrike Teufel, Franziska Wiegand, Uta Merle, Daniela Ferenci-Foerster, Andreas Maieron, Rudolf Stauber, Heinz Zoller, Hartmut H Schmidt, Ulrike Reuner, Harald Hefter, Jean Marc Trocello, Roderick H J Houwen, Peter Ferenci, Wolfgang Stremmel","Wilson disease is a genetic copper storage disorder that causes hepatic and neurologic symptoms. Chelating agents (D-penicillamine, trientine) are used as first-line therapies for symptomatic patients, but there are few data from large cohorts. We assessed the safety of D-penicillamine and trientine therapy and outcomes of patients with Wilson disease.",2013,Appenzeller-Herzog_2019,1
5635646,Prevention of Wilson's disease in asymptomatic patients.,"I Sternlieb, I H Scheinberg",,1968,Appenzeller-Herzog_2019,1
5742073,What Wilson's disease and its treatment have taught us about the metabolism of copper. Observations in 27 cases.,"N P Goldstein, W N Tauxe, J T McCall, R V Randall, J B Gross",,1968,Appenzeller-Herzog_2019,1
4199472,Wilson's disease in the United Kingdom and Taiwan. I. General characteristics of 142 cases and prognosis. II. A genetic analysis of 88 cases.,"G T Strickland, D Frommer, M L Leu, R Pollard, S Sherlock, J N Cumings",,1973,Appenzeller-Herzog_2019,1
11358907,Wilson's disease with severe hepatic insufficiency: beneficial effects of early administration of D-penicillamine.,"F Durand, J Bernuau, E Giostra, G Mentha, D Shouval, C Degott, J P Benhamou, D Valla","Wilson's disease, heralded by severe hepatic insufficiency, is a rare disorder for which emergency liver transplantation is considered to be the only effective therapy.",2001,Appenzeller-Herzog_2019,1
15448420,Serum transaminases in children with Wilson's disease.,"Raffaele Iorio, Mariangela D'Ambrosi, Matilde Marcellini, Cristiana Barbera, Giuseppe Maggiore, Lucia Zancan, Raffaella Giacchino, Pietro Vajro, Maria Grazia Marazzi, Ruggiero Francavilla, Fabio Michielutti, Massimo Resti, Tullio Frediani, Maria Pastore, Giuseppina Mazzarella, Giuseppina Fusco, Francesco Cirillo, Angela Vegnente",The response of serum transaminase levels to penicillamine and zinc treatment in Wilson's disease is poorly understood. The aim of this multicenter retrospective study was to evaluate transaminase levels after penicillamine and zinc treatment in children with Wilson's disease.,2004,Appenzeller-Herzog_2019,1
17063115,Diagnosis and management of Wilson's disease: results of a single center experience.,"Valentina Medici, Carlo Pietro Trevisan, Renata D'Incà, Michela Barollo, Lucia Zancan, Stefano Fagiuoli, Diego Martines, Paola Irato, Giacomo Carlo Sturniolo","To report on the diagnostic features, management, and clinical outcome after different treatments of Wilson's disease patients followed over a mean period of 15 years.",2006,Appenzeller-Herzog_2019,1
8936358,Effects of long-term treatment in Wilson's disease with D-penicillamine and zinc sulphate.,"A Czlonkowska, J Gajda, M Rodo","The results of treatment with D-penicillamine (D-P) or zinc sulphate (Zn) in 67 newly diagnosed cases of Wilson's disease have been compared. All patients (7 with hepatic, 1 with psychiatric and 59 with neurological or preclinical forms) were fully compliant. During 12 years of observation, 34 patients received d-P and 33 Zn as the primary treatment. Fifteen patients (44%) discontinued D-P, in 10 cases owing to side effects. Four (12%) patients discontinued Zn, in 2 cases because of side-effects. One patient who received Zn deteriorated during the first few months after the initiation of therapy. The effectiveness of long-term treatment with D-P and Zn was similar in those patients who were able to continue the initial therapy. Zn was tolerated better than D-P; we suggest, therefore, that it may be recommended as an initial therapy for patients in the preclinical stage of Wilson's disease or with neurological presentation of the disease. More observation is needed for patients with the hepatic and psychiatric forms of the disease.",1996,Appenzeller-Herzog_2019,1
16709660,"Clinical presentation, diagnosis and long-term outcome of Wilson's disease: a cohort study.","U Merle, M Schaefer, P Ferenci, W Stremmel","Wilson's disease is a rare inborn disease related to copper storage, leading to liver cirrhosis and neuropsychological deterioration. Clinical data on larger cohorts are limited owing to low disease frequency.",2007,Appenzeller-Herzog_2019,1
24447648,D-penicillamine versus zinc sulfate as first-line therapy for Wilson's disease.,"A Członkowska, T Litwin, M Karliński, K Dziezyc, G Chabik, M Czerska",To compare the course of treatment in patients with symptomatic Wilson's disease (WD) receiving either D-penicillamine (DPA) or zinc sulfate (ZS) as first-line therapy.,2014,Appenzeller-Herzog_2019,1
24661374,Zinc monotherapy is effective in Wilson's disease patients with mild liver disease diagnosed in childhood: a retrospective study.,"Giusy Ranucci, Fabiola Di Dato, Maria Immacolata Spagnuolo, Pietro Vajro, Raffaele Iorio","Wilson's disease (WD) evolves rapidly and is fatal if untreated. The treatment of WD patients with mild liver disease is not clearly defined. To address this issue, we evaluated long-term outcomes of three treatment regimens (D-penicillamine, zinc or both) in patients diagnosed in childhood.",2014,Appenzeller-Herzog_2019,1
15742108,Wilson's disease-cause of mortality in 164 patients during 1992-2003 observation period.,"A Członkowska, B Tarnacka, T Litwin, J Gajda, M Rodo","We studied the cause of death in a consecutive series of 164 patients with Wilson's disease (WD) diagnosed over an 11 year period. A total of 20 [12% (95% CI 10.3-16.0)] died during the observation period. The relative survival rate of all patients in our group was statistically smaller than in Polish population. The main cause of death was the diagnosis in advanced stage of disease, but in six patients presenting with mild signs, we observed the progression of the disease despite treatment. There was no difference in mortality rate in patients treated with d-penicillamine or zinc sulphate as initial therapy. The prognosis for survival in the majority of WD patients is favourable, provided that therapy is introduced early.",2005,Appenzeller-Herzog_2019,1
23011036,Histologic evolution and long-term outcome of Wilson's disease: results of a single-center experience.,"Margherita Sini, Orazio Sorbello, Francesco Sanna, Federica Battolu, Alberto Civolani, Daniela Fanni, Gavino Faa, Luigi Demelia","Wilson's disease (WD) is a rare inborn disease related to copper storage, leading to liver cirrhosis and neuropsychological deterioration. The aim of this study was to determine the clinical presentation and long-term outcome, and to examine the progression of hepatic histopathology in serial liver biopsies from WD patients.",2013,Appenzeller-Herzog_2019,1
23109455,Response to different therapeutic approaches in Wilson disease. A long-term follow up study.,"Beatriz Rodríguez, Juan Burguera, Marina Berenguer",There are certain areas of uncertainty regarding the best therapeutic approach in patients diagnosed with Wilson Disease (WD). Our aim was to assess treatment response to different therapies in a cohort of WD patients followed in a single center.,2012,Appenzeller-Herzog_2019,1
20958917,"Long-term follow-up of Wilson disease: natural history, treatment, mutations analysis and phenotypic correlation.","Radan Bruha, Zdenek Marecek, Lenka Pospisilova, Sona Nevsimalova, Libor Vitek, Pavel Martasek, Jiri Nevoral, Jaromir Petrtyl, Petr Urbanek, Alena Jiraskova, Peter Ferenci","Wilson disease (WD) is an inherited disorder of copper metabolism. When treated, the outcome can be excellent, although the long-term survival has yet to be well documented. The aim of this study was to describe the long-term outcome of a cohort of patients with WD and to assess those factors affecting the phenotypic manifestation of WD.",2011,Appenzeller-Herzog_2019,1
20333789,Wilson disease: histopathological correlations with treatment on follow-up liver biopsies.,"Sandy Cope-Yokoyama, Milton J Finegold, Giacomo Carlo Sturniolo, Kyoungmi Kim, Claudia Mescoli, Massimo Rugge, Valentina Medici",To investigate the progression of hepatic histopathology in serial liver biopsies from Wilson disease (WD) patients.,2010,Appenzeller-Herzog_2019,1
19473354,Long-term outcome in Serbian patients with Wilson disease.,"M Svetel, T Pekmezović, I Petrović, A Tomić, N Kresojević, R Jesić, S Kazić, R Raicević, D Stefanović, N Delibasić, D Zivanović, M Dordević, V S Kostić","To investigate survival rates, prognostic factors, and causes of death in Wilson disease (WD).",2009,Appenzeller-Herzog_2019,1
15793350,Severe autonomic dysfunction as a presenting feature of Wilson's disease.,S Kumar,,2005,Appenzeller-Herzog_2019,0
15940282,Adopting an orphan.,Andrea Rinaldi,Incentives to develop drugs for rare disorders raise hopes and controversy,2005,Appenzeller-Herzog_2019,0
15777568,Wilson's disease: clinical management and therapy.,"George J Brewer, Fred K Askari",,2005,Appenzeller-Herzog_2019,0
15749789,Acute liver failure.,J G O'Grady,"Acute liver failure is a complex multisystemic illness that evolves quickly after a catastrophic insult to the liver leading to the development of encephalopathy. The underlying aetiology and the pace of progression strongly influence the clinical course. The commonest causes are paracetamol, idiosyncratic drug reactions, hepatitis B, and seronegative hepatitis. The optimal care is multidisciplinary and up to half of the cases receive liver transplants, with survival rates around 75%-90%. Artificial liver support devices remain unproven in efficacy in acute liver failure.",2005,Appenzeller-Herzog_2019,0
15390041,Cannabis sativa and dystonia secondary to Wilson's disease.,"M Claudia Uribe Roca, Federico Micheli, Ricardo Viotti",A patient with generalized dystonia due to Wilson's disease obtained marked improvement in response to smoking cannabis.,2005,Appenzeller-Herzog_2019,0
15851088,Wilson's disease with depression and parkinsonism.,"K H Chan, R T F Cheung, K M Au-Yeung, W Mak, T S Cheng, S L Ho","Wilson's disease (WD) is an autosomal recessive disorder with reduced biliary excretion of copper plus impaired formation of ceruloplasmin, leading to copper accumulation in the liver, brain, kidney, and cornea. Clinical manifestations include liver damage, psychiatric symptoms, and neurological features. We report a 35-year-old woman with a history of deranged liver functions who had severe depression several years later and eventually presented with parkinsonian features. The underlying diagnosis is WD and family screening revealed WD in 2 other siblings. She could not tolerate penicillamine because of fever and leucopenia. While taking trientine hydrochloride and zinc sulphate, her parkinsonism improved and her depression remained in remission. WD should be considered in patients with unexplained liver function derangement or psychiatric symptoms. Early diagnosis and initiation of specific treatment are crucial in minimising any further cerebral and hepatic damage as well as securing possible improvement in organ functions.",2005,Appenzeller-Herzog_2019,0
14978667,Diagnostic considerations in juvenile parkinsonism.,"Dominic C Paviour, Robert A H Surtees, Andrew J Lees","Juvenile parkinsonism (JP) describes patients in whom the clinical features of parkinsonism manifest before 21 years of age. Many reported cases that had a good response to levodopa have proved to have autosomal recessive juvenile parkinsonism (AR-JP) due to mutations in the parkin gene. With the exception of parkin mutations and dopa-responsive dystonia, most causes are associated with the presence of additional neurological signs, resulting from additional lesions outside of the basal ganglia. Lewy body pathology has only been reported in one case, suggesting that a juvenile form of idiopathic Parkinson's disease may be extremely rare.",2004,Appenzeller-Herzog_2019,0
15031734,Neurodegenerative diseases and oxidative stress.,"Kevin J Barnham, Colin L Masters, Ashley I Bush","Oxidative stress has been implicated in the progression of Alzheimer's disease, Parkinson's disease and amyotrophic lateral sclerosis. Oxygen is vital for life but is also potentially dangerous, and a complex system of checks and balances exists for utilizing this essential element. Oxidative stress is the result of an imbalance in pro-oxidant/antioxidant homeostasis that leads to the generation of toxic reactive oxygen species. The systems in place to cope with the biochemistry of oxygen are complex, and many questions about the mechanisms of oxygen regulation remain unanswered. However, this same complexity provides a number of therapeutic targets, and different strategies, including novel metal-protein attenuating compounds, aimed at a variety of targets have shown promise in clinical studies.",2004,Appenzeller-Herzog_2019,0
15469163,"Cavernous transformation of the portal vein causing jaundice, presenting in the form of Wilson's disease.","V Ruszinkó, M Kovács, L Szönyi, T Verebély, P Willner","The following is a case review of portal vein cavernous malformation presenting with intermittent cholestasis and jaundice in a 4 year old child. Correct assessment was supported by radiology, later laparoscopy, yet hindered by histopathology representative Wilson's disease and elevated urinary copper excretion. During surgical procedure the stenosis of the common bile duct secondary to extremely dilated portal vein reticulation was solved by Roux-en-Y choledochojejunostomy. After a one-year follow up the child remains asymptomatic.",2004,Appenzeller-Herzog_2019,0
15011394,[Wilson disease].,Norikazu Shimizu,,2004,Appenzeller-Herzog_2019,0
15656402,[Fibrosing alveolitis as a complication due to D-penicillamine therapy for Wilson-Konovalov disease].,"O Iu Rakhimova, T P Rozina, E N Popova, T N Lopatkina, T M Ignatova",,2004,Appenzeller-Herzog_2019,0
15727190,[Effects of high level Zn intake on metabolism in man].,"Youzhang Xiang, Xiaoxia Yang, Jianchao Bian, Lin Wang","To observe the effects of high level Zn intake on zinc (Zn) copper (Cu), lipids metabolism and antioxidation function in man so as to provide scientific basis for Zn supplementation.",2004,Appenzeller-Herzog_2019,0
15379129,[Wilson's disease and secondary copper hemochromatoses in hematological practice].,"A I Vorob'ev, E A Lukina, E P Sysoeva, A A Levina, T I Solov'eva","To characterize clinical, diagnostic and therapeutic syndromes of copper overloading in patients with hepatic lesion in combination with hemopoietic disorder.",2004,Appenzeller-Herzog_2019,0
