PMID,Title,Authors,Abstract,Publication Year,study_name,included_in_study
16644224,"A prospective, randomised study comparing two techniques of autologous chondrocyte implantation for osteochondral defects in the knee: Periosteum covered versus type I/III collagen covered.","C R Gooding, W Bartlett, G Bentley, J A Skinner, R Carrington, A Flanagan",The results for autologous chondrocyte implantation (ACI) in the treatment of full thickness chondral defects in the knee are encouraging. At present two techniques have been described to retain the chondrocyte suspension within the defect. The first involves using a periosteal cover (ACI-P) and the second involves using a type I/III collagen membrane (ACI-C). To the authors knowledge there are no comparative studies of these two techniques in the current literature. We have therefore undertaken such a study to establish if there is a difference between the 2 techniques based on a clinical and arthroscopic assessment.,2006,Jeyaraman_2020,1
35529427,Platelet-Rich Plasma and Adipose-Derived Mesenchymal Stem Cells in Association with Arthroscopic Microfracture of Knee Articular Cartilage Defects: A Pilot Randomized Controlled Trial.,"Michele Venosa, Francesco Calafiore, Manuel Mazzoleni, Emilio Romanini, Simone Cerciello, Vittorio Calvisi","This study aims to compare the effects of platelet-rich plasma (PRP) alone or in combination with adipose-derived mesenchymal stem cells (AD-MSCs) in patients affected by cartilage defects, undergoing knee arthroscopic microfracture.",2022,Jeyaraman_2020,1
28913600,A multilayer biomaterial for osteochondral regeneration shows superiority vs microfractures for the treatment of osteochondral lesions in a multicentre randomized trial at 2 years.,"Elizaveta Kon, Giuseppe Filardo, Mats Brittberg, Maurizio Busacca, Vincenzo Condello, Lars Engebretsen, Stefan Marlovits, Philipp Niemeyer, Patrik Platzer, Michael Posthumus, Peter Verdonk, Renè Verdonk, Jan Victor, Willem van der Merwe, Wojciech Widuchowski, Claudio Zorzi, Maurilio Marcacci","The increasing awareness on the role of subchondral bone in the etiopathology of articular surface lesions led to the development of osteochondral scaffolds. While safety and promising results have been suggested, there are no trials proving the real potential of the osteochondral regenerative approach. Aim was to assess the benefit provided by a nanostructured collagen-hydroxyapatite (coll-HA) multilayer scaffold for the treatment of chondral and osteochondral knee lesions.",2018,Jeyaraman_2020,1
29253350,Randomized Study of Long-term (15-17 Years) Outcome After Microfracture Versus Mosaicplasty in Knee Articular Cartilage Defects.,"Eirik Solheim, Janne Hegna, Torbjørn Strand, Thomas Harlem, Eivind Inderhaug","Few comparative randomized long-term studies on microfracture versus mosaicplasty have been published, and only 2 studies reported a follow-up of 10 years. Hypothesis/Purpose: The purpose was to compare the clinical outcome of microfracture versus mosaicplasty/osteochondral autograft transfer in symptomatic cartilage lesions. The null hypothesis was that the outcome was not statistically different at any point of time.",2018,Jeyaraman_2020,1
29909583,Clinical and radiographical ten years long-term outcome of microfracture vs. autologous chondrocyte implantation: a matched-pair analysis.,"Robert Ossendorff, Kilian Franke, Benjamin Erdle, Markus Uhl, Norbert P Südkamp, Gian M Salzmann",To compare the clinical and radiographical long-term outcome of microfracture (MFX) and first-generation periosteum-covered autologous chondrocyte implantation (ACI-P).,2019,Jeyaraman_2020,1
31312692,Transplantation of autologous bone marrow-derived mesenchymal stem cells under arthroscopic surgery with microfracture versus microfracture alone for articular cartilage lesions in the knee: A multicenter prospective randomized control clinical trial.,"Yusuke Hashimoto, Yohei Nishida, Shinji Takahashi, Hiroaki Nakamura, Hisashi Mera, Kaori Kashiwa, Shinichi Yoshiya, Yusuke Inagaki, Kota Uematsu, Yasuhito Tanaka, Shigeki Asada, Masao Akagi, Kanji Fukuda, Yoshiya Hosokawa, Akira Myoui, Naosuke Kamei, Masakazu Ishikawa, Nobuo Adachi, Mitsuo Ochi, Shigeyuki Wakitani",To investigate the efficacy of the transplantation of autologous bone marrow-derived mesenchymal stem cells (BMSCs) under arthroscopy with microfracture (MFX) compared with microfracture alone.,2019,Jeyaraman_2020,1
32043426,Human adipose-derived mesenchymal progenitor cells plus microfracture and hyaluronic acid for cartilage repair: a Phase IIa trial.,"Zhiguang Qiao, Jiaxin Tang, Bing Yue, Jinwu Wang, Jun Zhang, Liang Xuan, Chengxiang Dai, Suke Li, Meng Li, Cuili Xu, Kerong Dai, You Wang",,2020,Jeyaraman_2020,1
32556433,Bone marrow aspirate concentration provided better results in cartilage regeneration to microfracture in knee of osteoarthritic patients.,"Quan-He Jin, Young-Woo Chung, Seung-Min Na, Hyeon-Wook Ahn, Dong-Min Jung, Jong-Keun Seon",To determine whether microfracture with bone marrow aspirate concentrate (BMAC) improves functional outcome and cartilage regeneration better than microfracture alone in patients undergoing high tibial osteotomy (HTO) for medial unicompartmental osteoarthritis (OA).,2021,Jeyaraman_2020,1
32667270,Prospective Long-term Follow-up of Autologous Chondrocyte Implantation With Periosteum Versus Matrix-Associated Autologous Chondrocyte Implantation: A Randomized Clinical Trial.,"Alexander Barié, Patrizia Kruck, Reza Sorbi, Christoph Rehnitz, Doris Oberle, Tilman Walker, Felix Zeifang, Babak Moradi",Matrix-associated autologous chondrocyte implantation (MACI) is a further development of the original autologous chondrocyte implantation periosteal flap technique (ACI-P) for the treatment of articular cartilage defects.,2020,Jeyaraman_2020,1
33490296,"Allogeneic Umbilical Cord Blood-Derived Mesenchymal Stem Cell Implantation Versus Microfracture for Large, Full-Thickness Cartilage Defects in Older Patients: A Multicenter Randomized Clinical Trial and Extended 5-Year Clinical Follow-up.","Hong-Chul Lim, Yong-Beom Park, Chul-Won Ha, Brian J Cole, Beom-Koo Lee, Hwa-Jae Jeong, Myung-Ku Kim, Seong-Il Bin, Chong-Hyuk Choi, Choong Hyeok Choi, Jae-Doo Yoo, Jung-Ro Yoon, Jun-Young Chung","There is currently no optimal method for cartilage restoration in large, full-thickness cartilage defects in older patients.",2021,Jeyaraman_2020,1
34048286,Arthroscopic Matrix-Assisted Autologous Chondrocyte Transplantation Versus Microfracture: A 6-Year Follow-up of a Prospective Randomized Trial.,"Clemente Ibarra, Enrique Villalobos, Antonio Madrazo-Ibarra, Cristina Velasquillo, Valentin Martinez-Lopez, Aldo Izaguirre, Anell Olivos-Meza, Socorro Cortes-Gonzalez, Francisco Javier Perez-Jimenez, Alberto Vargas-Ramirez, Gilberto Franco-Sanchez, Luis Guillermo Ibarra-Ibarra, Luis Sierra-Suarez, Arturo Almazan, Carmina Ortega-Sanchez, Cesareo Trueba, Fernando Barbosa Martin, Reynaldo Arredondo-Valdes, Daniel Chavez-Arias",Few randomized controlled trials with a midterm follow-up have compared matrix-assisted autologous chondrocyte transplantation (MACT) with microfracture (MFx) for knee cartilage lesions.,2021,Jeyaraman_2020,1
33359816,Osteochondral Allograft Transplantation of the Knee in Adolescent Patients and the Effect of Physeal Closure.,"Ron Gilat, Eric D Haunschild, Hailey Huddleston, Kevin C Parvaresh, Jorge Chahla, Adam B Yanke, Brian J Cole",The primary aim was to compare osteochondral allograft (OCA) transplantation outcomes between adolescent patients aged 16 years or younger and those older than 16 years. A secondary aim was to analyze the association between physeal closure status and outcomes.,2021,Jeyaraman_2020,1
23589126,Autologous osteochondral mosaicplasty or TruFit plugs for cartilage repair.,"Paul Hindle, Jane L Hendry, John F Keating, Leela C Biant",Autologous osteochondral mosaicplasty and TruFit Bone graft substitute plugs are methods used to repair symptomatic articular cartilage defects in the adult knee. There have been no comparative studies of the two techniques.,2014,Jeyaraman_2020,1
23370980,Unicompartmental osteoarthritis: an integrated biomechanical and biological approach as alternative to metal resurfacing.,"M Marcacci, S Zaffagnini, E Kon, G M Marcheggiani Muccioli, A Di Martino, B Di Matteo, T Bonanzinga, F Iacono, G Filardo","Although traditionally not indicated for the treatment of osteoarthritis (OA), regenerative procedures are becoming a focus of increased interest due to their potential to provide pain relief and alter the progression of degenerative diseases. The purpose of this study was to assess whether a combined biomechanical and biological approach could offer good results in unicompartmental OA, thus delaying the need for unicompartmental arthroplasty in patients too young or refusing metal resurfacing.",2013,Jeyaraman_2020,1
25143504,Weight-bearing compared with non-weight-bearing following osteochondral autograft transfer for small defects in weight-bearing areas in the femoral articular cartilage of the knee.,"James R Kosiur, Robert A Collins","Patients are routinely kept non-weight-bearing for four to eight weeks following osteochondral autograft transfer to repair cartilage defects of the medial and/or lateral femoral condyle. Therefore, the objective of this novel study was to investigate whether postoperative weight-bearing restrictions affect the outcomes of cartilage repair when an osteochondral autograft transfer system is used to repair small defects in weight-bearing areas of femoral articular cartilage.",2014,Jeyaraman_2020,1
32134685,"Prospective Assessment of Outcomes After Primary Unipolar, Multisurface, and Bipolar Osteochondral Allograft Transplantations in the Knee: A Comparison of 2 Preservation Methods.","James P Stannard, James L Cook",Articular cartilage lesions in the knee remain a challenging clinical problem.,2020,Jeyaraman_2020,1
27614391,Results of Hyaluronic Acid-Based Cell-Free Scaffold Application in Combination With Microfracture for the Treatment of Osteochondral Lesions of the Knee: 2-Year Comparative Study.,"Hakan Sofu, Nizamettin Kockara, Ali Oner, Yalkin Camurcu, Ahmet Issın, Vedat Sahin",To determine the clinical and radiographic efficacy of hyaluronic acid-based cell-free scaffold applied in combination with microfracture versus microfracture alone in patients with focal osteochondral lesion of the knee joint.,2017,Jeyaraman_2020,1
31785390,Microfractures Versus a Porcine-Derived Collagen-Augmented Chondrogenesis Technique for Treating Knee Cartilage Defects: A Multicenter Randomized Controlled Trial.,"Man Soo Kim, Churl Hong Chun, Joon Ho Wang, Jin Goo Kim, Seung-Baik Kang, Jae Doo Yoo, Je-Gyun Chon, Myung Ku Kim, Chan Woong Moon, Chong Bum Chang, In Soo Song, Jeong Ku Ha, Nam Yong Choi, Yong In",The purpose of this study was to evaluate the clinical efficacy and safety of treating patients with a cartilage defect of the knee with microfractures and porcine-derived collagen-augmented chondrogenesis technique (C-ACT).,2020,Jeyaraman_2020,1
19846693,"Effect of accelerated weightbearing after matrix-associated autologous chondrocyte implantation on the femoral condyle on radiographic and clinical outcome after 2 years: a prospective, randomized controlled pilot study.","Barbara Wondrasch, Lukas Zak, Götz H Welsch, Stefan Marlovits",There is no consensus about the optimal time for weightbearing activities after matrix-associated autologous chondrocyte implantation (MACI) of the femoral condyle.,2009,Jeyaraman_2020,1
27663035,A Comparison of the Outcomes for Cartilage Defects of the Knee Treated With Biologic Resurfacing Versus Focal Metallic Implants.,"Cecilia Pascual-Garrido, Erika Daley, Nikhil N Verma, Brian J Cole","To compare the results of focal metallic resurfacing with biologic procedures in patients more than 35 years of age with isolated, full thickness defects of the femoral condyle.",2017,Jeyaraman_2020,1
18434214,"Traditional vs accelerated approaches to post-operative rehabilitation following matrix-induced autologous chondrocyte implantation (MACI): comparison of clinical, biomechanical and radiographic outcomes.","J R Ebert, W B Robertson, D G Lloyd, M H Zheng, D J Wood, T Ackland",To determine the effectiveness of 'accelerated' compared to 'traditional' post-operative load bearing rehabilitation protocols following matrix-induced autologous chondrocyte implantation (MACI).,2008,Jeyaraman_2020,1
28646824,Bone Marrow Aspirate Concentrate versus Platelet Rich Plasma to Enhance Osseous Integration Potential for Osteochondral Allografts.,"Aaron M Stoker, Charles A Baumann, James P Stannard, James L Cook","Fresh osteochondral allograft (OCA) transplantation is an attractive treatment option for symptomatic articular cartilage lesions in young, healthy patients. Since a lack of OCA bone integration can be a cause of treatment failure, methods for speeding and enhancing OCA bone integration to mitigate this potential complication are highly desirable. This study sought to determine and compare the potential of bone marrow aspirate concentrate (BMC) and leukoreduced platelet rich plasma (PRP) to repopulate the osseous portion of an OCA with cells and deliver osteogenic proteins. It was hypothesized that BMC would have significantly higher colony forming units (CFUs)/mL and seed the osseous portion of OCA with more cells than PRP. Finally, we hypothesized that the media of BMC and PRP treated OCAs would have significantly higher concentrations of osteogenic proteins compared with negative control OCAs. Cylindrical OCAs (",2018,Jeyaraman_2020,1
28282221,Collagen Augmentation Improves the Quality of Cartilage Repair After Microfracture in Patients Undergoing High Tibial Osteotomy: A Randomized Controlled Trial.,"Man Soo Kim, In Jun Koh, Young Jun Choi, Kyu Hyung Pak, Yong In","The quality of cartilage repair after marrow stimulation is unpredictable. To overcome the shortcomings of the microfracture technique, various augmentation techniques have been developed. However, their efficacies remain unclear.",2017,Jeyaraman_2020,1
28170179,Comparative Clinical Observation of Arthroscopic Microfracture in the Presence and Absence of a Stromal Vascular Fraction Injection for Osteoarthritis.,"Phu Dinh Nguyen, Tung Dang-Xuan Tran, Huynh Ton-Ngoc Nguyen, Hieu Trung Vu, Phuong Thi-Bich Le, Nhan Lu-Chinh Phan, Ngoc Bich Vu, Ngoc Kim Phan, Phuc Van Pham","Osteoarthritis (OA) is a degenerative cartilage disease that is characterized by a local inflammatory reaction. Consequently, many studies have been performed to identify suitable prevention and treatment interventions. In recent years, both arthroscopic microfracture (AM) and stem cell therapy have been used clinically to treat OA. This study aimed to evaluate the clinical effects of AM in the presence and absence of a stromal vascular fraction (SVF) injection in the management of patients with OA. Thirty patients with grade 2 or 3 (Lawrence scale) OA of the knee participated in this study. Placebo group patients (n = 15) received AM alone; treatment group patients (n = 15) received AM and an adipose tissue-derived SVF injection. The SVF was suspended in platelet-rich plasma (PRP) before injection into the joint. Patient groups were monitored and scored with the Western Ontario and McMaster Universities Arthritis Index (WOMAC), Lysholm, Visual Analog Pain Scale (VAS), and modified Outerbridge classifications before treatment and at 6, 12, and 18 months post-treatment. Bone marrow edema was also assessed at these time points. Patients were evaluated for knee activity (joint motion amplitude) and adverse effects relating to surgery and stem cell injection. Treatment efficacy was significantly different between placebo and treatment groups. All treatment group patients had significantly reduced pain and WOMAC scores, and increased Lysholm and VAS scores compared with the placebo group. These findings suggest that the SVF/PRP injection efficiently improved OA for 18 months after treatment. This study will be continuously monitored for additional 24 months. Stem Cells Translational Medicine 2017;6:187-195.",2017,Jeyaraman_2020,1
28108777,A randomized controlled trial demonstrating sustained benefit of Autologous Matrix-Induced Chondrogenesis over microfracture at five years.,"Martin Volz, Jens Schaumburger, Hubert Frick, Joachim Grifka, Sven Anders",Autologous Matrix-Induced Chondrogenesis (AMIC,2017,Jeyaraman_2020,1
