PMID,Title,Authors,Abstract,Publication Year,study_name,included_in_study
31734383,Neurodevelopmental Outcomes of Children Born to Opioid-Dependent Mothers: A Systematic Review and Meta-Analysis.,"Samantha J Lee, Samudragupta Bora, Nicola C Austin, Anneliese Westerman, Jacqueline M T Henderson",Children born to opioid-dependent mothers are at risk of adverse neurodevelopment. The magnitude of this risk remains inconclusive.,2020,Menon_2022,1
32026567,"Food environment near schools and body weight-A systematic review of associations by race/ethnicity, gender, grade, and socio-economic factors.","Mika Matsuzaki, Brisa N Sánchez, Maria Elena Acosta, Jillian Botkin, Emma V Sanchez-Vaznaugh","Previous research reported modest associations between food environments near schools and adiposity among children overall. The associations within sociodemographic subgroups have not been synthesized. This review assessed the evidence on the associations between food environments near schools and childhood obesity within different demographic and socio-economic subgroups. PubMed and Scopus databases were searched to identify studies published in English between January 1, 1980, and April 25, 2019, examining the presence of fast food outlets, convenience stores, supermarkets, and grocery stores near schools and measures of overweight/obesity by race/ethnicity, gender, grade, and income level. Twelve cross-sectional and two ecological studies were included. Fast food outlets were most commonly examined (n = 12). The associations between fast food outlets near schools and obesity were generally positive among Latino, white, and African American students and across grade levels, although the strengths of evidence varied. The directions of association were mixed among Asian children. Three studies reported generally positive associations between convenience stores and obesity among Latino and African American children and mixed associations among white and Asian children. Longitudinal studies are needed in addition to studies examining underlying mechanisms of the differential influence of food environments near schools within each subgroup.",2020,Menon_2022,1
31727405,The effects of neck muscle vibration on postural orientation and spatial perception: A systematic review.,"Karim Jamal, Stéphanie Leplaideur, Frédérique Leblanche, Annelise Moulinet Raillon, Thibaud Honoré, Isabelle Bonan","Neck muscle vibration (NMV) is increasingly used for its modulation of body orientation and spatial perception, but its mechanisms of action are still not well known.",2020,Menon_2022,1
31989413,Maternal mycotoxin exposure and adverse pregnancy outcomes: a systematic review.,"Nicholas N A Kyei, Daniel Boakye, Sabine Gabrysch","Mycotoxin exposure from food occurs globally but is more common in hot humid environments, especially in low-income settings, and might affect pregnancy outcomes. This study aimed to synthesize the evidence from epidemiological studies on the relationship between maternal or fetal exposure to different mycotoxins and the occurrence of adverse pregnancy outcomes. Multiple databases were systematically searched up to December 2018 to identify studies that assessed the association between mycotoxin exposure in pregnant women or fetuses and at least one pregnancy outcome. Studies were appraised and results were synthesized using standard methods for conducting systematic reviews. This review identified and included 17 relevant studies. There is some evidence to suggest that exposure to various Aspergillus mycotoxins (e.g., aflatoxin) during pregnancy may impair intrauterine fetal growth and promote neonatal jaundice. Findings were inconclusive concerning the influence of aflatoxin exposure on perinatal death and preterm birth. Only two studies assessed effects of maternal exposure to Fusarium mycotoxins (e.g., fumonisin) on adverse pregnancy outcomes. These studies found that maternal fumonisin exposure may be associated with hypertensive emergencies in pregnancy and with neural tube defects. Studies using grain farming and weather conditions as a proxy measure for mycotoxin exposure found that such exposure was associated with an increased risk of preterm birth and late-term miscarriage. In conclusion, there is already some evidence to suggest that exposure to mycotoxins during pregnancy may have detrimental effects on pregnancy outcomes. However, given the limited number of studies, especially on effects of Fusarium mycotoxins, more studies are needed for a more comprehensive understanding of the effects of different mycotoxins on maternal and fetal health and to guide public health policies and interventions.",2020,Menon_2022,1
30696940,Neurodevelopmental effects of prenatal vitamin D in humans: systematic review and meta-analysis.,"Azahara M García-Serna, Eva Morales","Diverse studies have investigated the impact of prenatal exposure to vitamin D levels on brain development; however, evidence in humans has never been systematically reviewed. This article summarized evidence of the association between 25-hydroxyvitamin D [25(OH)D] levels in maternal blood in pregnancy or newborn blood at birth and neurodevelopmental outcomes, including cognition, psychomotor performance, language development, behavioral difficulties, attention deficit and hyperactivity disorder (ADHD), and autistic traits. PubMed, Web of Science and SCOPUS databases were systematically searched for epidemiologic studies published through May 2018 using keywords. Random-effects meta-analyses were conducted. Of 260 identified articles, 25 were included in the present review. Comparing the highest vs. the lowest category of prenatal 25(OH)D levels, the pooled beta coefficients were 0.95 (95% CI -0.03, 1.93; p = 0.05) for cognition, and 0.88 (95% CI -0.18, 1.93; p = 0.10) for psychomotor development. The pooled relative risk for ADHD was 0.72 (95% CI, 0.59, 0.89; p = 0.002), and the pooled odds ratio for autism-related traits was 0.42 (95% CI, 0.25, 0.71; p = 0.001). There was little evidence for protective effects of high prenatal 25(OH)D for language development and behavior difficulties. This meta-analysis provides supporting evidence that increased prenatal exposure to 25(OH)D levels is associated with improved cognitive development and reduced risk of ADHD and autism-related traits later in life. Associations represent a potentially high public health burden given the current prevalence of vitamin D deficiency and insufficiency among childbearing aging and pregnant women.",2020,Menon_2022,1
30100164,Talc exposure and risk of stomach cancer: Systematic review and meta-analysis of occupational cohort studies.,"Che-Jui Chang, Yu-Kang Tu, Pau-Chung Chen, Hsiao-Yu Yang","Talc powder is widely used in various industries, but the carcinogenic effects associated with talc are not well understood. The objective of this study was to estimate the risk of stomach cancer after occupational talc exposure.",2020,Menon_2022,1
32167232,A time-to-event analysis on air pollutants with the risk of cardiovascular disease and mortality: A systematic review and meta-analysis of 84 cohort studies.,"Raymond Pranata, Rachel Vania, Alexander Edo Tondas, Budhi Setianto, Anwar Santoso",Air pollution is one of the most substantial problems globally. Aerodynamic toxic of particulate matter with <10 mm in diameter (PM,2020,Menon_2022,1
32473798,Mouthwash With Alcohol and Oral Carcinogenesis: Systematic Review and Meta-analysis.,"Ricard Aceves Argemí, Beatriz González Navarro, Paula Ochoa García-Seisdedos, Albert Estrugo Devesa, JOSé López-López","It has been shown that the risk of developing oral cancer is closely related to the intensity and duration of exposure to alcohol and tobacco. Even so, the use of mouthwashes with alcohol in their compositions and the increased risk of oral cancer has been a source of controversy for decades.",2020,Menon_2022,1
31541557,The association between pesticide use and cutaneous melanoma: a systematic review and meta-analysis.,"I Stanganelli, M B De Felici, V D Mandel, S Caini, S Raimondi, F Corso, F Bellerba, P Quaglino, M Sanlorenzo, S Ribero, M Medri, F Farnetani, C Feliciani, G Pellacani, S Gandini","The incidence of cutaneous melanoma (CM), the deadliest form of skin cancer, has gradually increased in the last decades among populations of European origin. Epidemiological studies suggested that farmers and agricultural workers are at an increased risk of CM because they were exposed to pesticides. However, little is known about the relationship between pesticides and CM.",2020,Menon_2022,1
32387882,Dose-related effect of secondhand smoke on cardiovascular disease in nonsmokers: Systematic review and meta-analysis.,"Dongdong Zhang, Yiming Liu, Cheng Cheng, Yan Wang, Yuan Xue, Wenjie Li, Xing Li","Despite the positive association between secondhand smoke (SHS) and cardiovascular diseases (CVD), no comprehensive assessment on the dose-response relationship between SHS and CVD has yet been reported. Therefore, a meta-analysis was conducted to update the binary association, and to elucidate the dose-response relationship of both self-reported and objectively measured SHS exposure with CVD.",2020,Menon_2022,1
